Stock1,Stock2
AKSA.csv,ISGYO.csv
AKSA.csv,THYAO.csv
AKSA.csv,PGSUS.csv
AKSA.csv,GOKNR.csv
AKSA.csv,TSKB.csv
AKSA.csv,ENTRA.csv
AKSA.csv,BRYAT.csv
AKSA.csv,DOAS.csv
AKSA.csv,A1CAP.csv
AKSA.csv,TAVHL.csv
AKSA.csv,AEFES.csv
AKSA.csv,SKBNK.csv
AKSA.csv,SAHOL.csv
AKSA.csv,CIMSA.csv
AKSA.csv,ISCTR.csv
AKSA.csv,BIOEN.csv
AKSA.csv,ULKER.csv
AKSA.csv,HEKTS.csv
AKSA.csv,OYAKC.csv
AKSA.csv,TUPRS.csv
AKSA.csv,KONTR.csv
AKSA.csv,BUCIM.csv
AKSA.csv,OBAMS.csv
AKSA.csv,FROTO.csv
AKSA.csv,YYLGD.csv
AKSA.csv,KZGYO.csv
AKSA.csv,AFYON.csv
AKSA.csv,KCAER.csv
AKSA.csv,GWIND.csv
AKSA.csv,ASTOR.csv
AKSA.csv,ANSGR.csv
AKSA.csv,ISMEN.csv
AKSA.csv,KAYSE.csv
AKSA.csv,ASELS.csv
AKSA.csv,DOHOL.csv
AKSA.csv,KCHOL.csv
AKSA.csv,ENKAI.csv
AKSA.csv,BERA.csv
AKSA.csv,AGROT.csv
AKSA.csv,BINHO.csv
AKSA.csv,MAVI.csv
AKSA.csv,HALKB.csv
AKSA.csv,ALBRK.csv
AKSA.csv,ARDYZ.csv
AKSA.csv,KMPUR.csv
AKSA.csv,TTKOM.csv
AKSA.csv,OTKAR.csv
AKSA.csv,EUPWR.csv
AKSA.csv,SOKM.csv
AKSA.csv,ALARK.csv
AKSA.csv,KORDS.csv
AKSA.csv,TTRAK.csv
AKSA.csv,CCOLA.csv
AKSA.csv,YEOTK.csv
VAKBN.csv,BIMAS.csv
VAKBN.csv,ECILC.csv
VAKBN.csv,VESTL.csv
VAKBN.csv,EGEEN.csv
VAKBN.csv,SISE.csv
VAKBN.csv,EREGL.csv
VAKBN.csv,VESBE.csv
VAKBN.csv,PETKM.csv
VAKBN.csv,AKFGY.csv
VAKBN.csv,AKSEN.csv
VAKBN.csv,GARAN.csv
VAKBN.csv,AKFYE.csv
VAKBN.csv,TKFEN.csv
VAKBN.csv,ALFAS.csv
VAKBN.csv,CANTE.csv
VAKBN.csv,KLSER.csv
VAKBN.csv,ARCLK.csv
VAKBN.csv,MGROS.csv
VAKBN.csv,ODAS.csv
VAKBN.csv,SASA.csv
VAKBN.csv,KRDMD.csv
VAKBN.csv,AHGAZ.csv
VAKBN.csv,TOASO.csv
VAKBN.csv,AGESA.csv
VAKBN.csv,CWENE.csv
VAKBN.csv,AKBNK.csv
VAKBN.csv,AKCNS.csv
VAKBN.csv,EKGYO.csv
VAKBN.csv,ISGYO.csv
VAKBN.csv,THYAO.csv
VAKBN.csv,PGSUS.csv
VAKBN.csv,GOKNR.csv
VAKBN.csv,TSKB.csv
VAKBN.csv,ENTRA.csv
